"animal","category","median.score"
"African brush-tailed porcupine","Wild meat",10
"African buffalo","Wild meat",6
"African civet","Wild meat",6.5
"African dwarf crocodile","Wild meat",7
"African elephant","Wild meat",8
"African golden cat","Wild meat",6
"African palm civet","Wild meat",8
"African palm weevil","Invertebrate",8
"Anchovy","Fish",5.5
"Aquatic snail","Invertebrate",7
"Ball python","Wild meat",7
"Bates' pygmy antelope","Wild meat",7
"Bats","Wild meat",5
"Bay duiker","Wild meat",7
"Beef","Domestic meat",8
"Black guineafowl","Wild meat",6
"Black-bellied pangolin","Wild meat",10
"Blue duiker","Wild meat",7
"Bushbuck","Wild meat",6
"Bushfowls","Wild meat",6
"Calabar angwantibo","Wild meat",5
"Cameroon red-eared monkey","Wild meat",8
"Carp","Fish",8
"Catfish","Fish",9
"Central African rock python","Wild meat",7
"Chameleons","Wild meat",5
"Chicken","Domestic meat",9
"Chimpanzee","Wild meat",8
"Cobra","Wild meat",6
"Common periwinkle","Invertebrate",7
"Crested genet","Wild meat",7
"Crested mona monkey","Wild meat",8
"Cricket","Invertebrate",3
"Cross River gorilla","Wild meat",7
"Cusimanses","Wild meat",7
"Dog","Domestic meat",9
"Drill","Wild meat",8
"Duck","Domestic meat",5
"Eagle","Wild meat",5
"Freshwater crab","Invertebrate",5
"Freshwater shrimps","Invertebrate",9
"Frogs and toads","Wild meat",6
"Gaboon viper","Wild meat",7
"Galagos","Wild meat",5.5
"Giant land snail","Invertebrate",8.5
"Giant pangolin","Wild meat",10
"Giant pouched rat","Wild meat",7
"Goat","Domestic meat",8
"Grasshoppers","Invertebrate",5
"Greater cane rat","Wild meat",9
"Guinea pig","Domestic meat",4
"Hawks and kites","Wild meat",4
"Helmeted guineafowl","Wild meat",7
"Honey badger","Wild meat",4.5
"Hornbills","Wild meat",5
"Hyraxes","Wild meat",6
"Lobsters","Invertebrate",8
"Mambas","Wild meat",6
"Mona monkey","Wild meat",8
"Mongooses","Wild meat",7
"Nile crocodile","Wild meat",6
"Nile monitor","Wild meat",8
"Ogilby's duiker","Wild meat",6
"Otters","Wild meat",6
"Owls","Wild meat",5
"Parrots","Wild meat",4
"Patas monkey","Wild meat",8
"Pigeons","Wild meat",5
"Pork","Domestic meat",8
"Potto","Wild meat",6
"Preuss's monkey","Wild meat",7
"Preuss's red colobus","Wild meat",8
"Putty-nosed monkey","Wild meat",8
"Rabbits","Domestic meat",6
"Red river hog","Wild meat",10
"Red-capped mangabey","Wild meat",8
"Sardine and pilchard","Fish",5
"Sclater's monkey","Wild meat",8
"Sheep","Domestic meat",6
"Shrews","Wild meat",6
"Sitatunga","Wild meat",7
"Slender-snouted crocodile","Wild meat",8
"Small birds","Wild meat",4
"Squirrels","Wild meat",6
"Stock fish","Fish",7
"Termite","Invertebrate",5
"Tilapia","Fish",8
"Tortoises","Wild meat",7
"Turacos","Wild meat",7
"Turkey","Domestic meat",7
"Turtles","Wild meat",6
"Vultures","Wild meat",2
"Water chevrotain","Wild meat",7
"West African mackerel","Fish",8
"White-bellied pangolin","Wild meat",10
"Yellow-backed duiker","Wild meat",5
